Bairro,Numero de quartos,Metros quadrados,Vagas de Garagem,Numero de Banheiros,Preço
Jardim do Lago,3,217,2,3,2780000
Conjunto Habitacional Alexandre Urbanas,3,150,4,4,990000
Terra Bonita,3,97,1,2,1042500
Cidade Industrial 2,2,45,1,1,210000
Jardim Alvorada,4,545,5,1,2200000
Brasília,3,120,2,3,1200000
Brasília,3,76,3,2,320000
Centro,3,704,2,2,1990000
Ouro Verde,2,47,1,1,190000
Jardim Tarumã,3,170,2,2,640000
Vitória,3,69,1,2,490000
Califórnia,3,118,1,1,230000
Conjunto Residencial Marajoara,2,45,1,1,165000
Centro,3,147,2,3,780000
Brasília,3,87,2,2,429000
Gleba Fazenda Palhano,3,85,2,2,850000
Jardim São Jorge,4,671,5,5,6000000
Gleba Fazenda Palhano,3,139,2,4,1650000
Centro,1,43,1,1,215000
Colina Verde,5,463,4,5,1950000
Jardim Morumbi,2,56,1,2,219000
Lindóia,3,110,2,2,235000
Gleba Fazenda Palhano,2,82,2,2,820000
Santa Rosa,3,103,2,2,1180000
Recanto do Salto,4,2096,5,5,4700000
Jardim ltaparica,3,84,4,2,300000
Coliseu,4,300,2,3,799180
Centro,4,92,2,3,445000
Gleba Fazenda Palhano,2,69,2,2,560000
Taliana,2,47,1,1,180000
Gleba Fazenda Palhano,3,136,2,4,1385000
Centro,5,467,2,5,1800000
Jardim Nações Unidas,2,45,1,1,160000
Conjunto Habitacional Alexandre Urbanas,3,231,3,4,1697000
Brasília,2,63,1,1,299000
Jardim Maria Luiza,2,45,1,1,160000
Gleba Fazenda Palhano,3,220,4,5,2470000
Gleba Fazenda Palhano,3,113,2,1,988000
Terra Bonita,2,70,2,2,689350
Jardim Higienópolis,2,138,2,1,550000
Lago Parque,4,197,4,3,815000
Centro,2,63,1,1,320000
Bandeirantes,3,74,2,2,360400
Jardim Higienópolis,2,77,1,2,330000
Santa Mônica,4,480,4,4,780000
Vila Siam,3,71,1,2,499000
Brasília,1,56,1,2,290000
Recanto do Salto,3,286,4,5,3200000
Gleba Fazenda Palhano,4,340,5,5,4300000
Gleba Fazenda Palhano,4,231,3,5,1900000
Esperança,3,362,3,4,2950000
Judith,3,79,2,2,650000
Centro,3,148,2,4,1200000
Olímpico,3,137,1,2,890000
Santa Rosa,3,122,2,2,1190000
Jardim Morumbi,3,200,4,4,1700000
Jardim Itapoá,2,134,2,2,270000
Centro,3,86,2,2,750000
Jardim Esperança,3,126,1,1,550000
Alpes,3,170,2,3,400000
Gleba Fazenda Palhano,4,226,2,1,1200000
Jardim Belém,2,82,1,1,250000
Caravelle,3,398,4,3,1200000
Jardim Presidente,5,328,4,5,5000000
Alpes,5,220,3,3,480000
Jardim São Jorge,4,256,4,4,3650000
Alpes,1,56,2,1,220000
Jardim dos Estados,3,56,1,2,375000
Brasília,2,45,1,1,180000
Jardim Planalto,2,130,2,1,250000
Bela Suiça,3,156,2,4,1700000
Residencial José Lázaro Gouvea,4,371,3,5,3290000
Jardim Maria Luiza,2,46,1,1,180000
Vila Larsen 1,3,213,2,4,550000
Alpes,3,80,3,1,350000
Terra Bonita,3,70,1,2,480000
Condomínio Vale do Arvoredo,4,240,2,4,1600000
Gleba Fazenda Palhano,3,165,2,5,1450000
Jardim Montecatini,3,146,4,2,1150000
Gleba Fazenda Palhano,2,46,1,1,330000
Olímpico,2,41,1,1,245000
Gleba Fazenda Palhano,3,75,1,2,557000
Colinas,2,45,1,1,192000
Jardim Nações Unidas,2,47,1,1,195000
Aurora,3,68,1,2,577000
Pinheiros,3,166,3,3,720000
Leonor,2,82,1,2,290000
Residencial Abussafe,3,99,3,2,450000
Bela Suiça,4,419,4,5,5200000
Bela Suiça,4,232,3,4,2700000
Ouro Verde,2,45,1,1,180000
Gleba Ribeirão Limeiro,2,44,1,1,189000
Santa Rosa,2,81,1,2,730000
Jardim do Lago,3,123,2,4,1280000
Vale dos Tucanos,2,49,1,1,140000
Parque Jamaica,3,138,2,3,650000
Brasília,2,51,1,1,365000
Vivendas do Arvoredo,4,267,2,5,3250000
Vale dos Tucanos,3,64,1,2,530000
Parque Jamaica,2,46,1,1,197000
Esperança,4,284,4,5,2990000
Andrade,3,124,2,3,1250000
Quebec,4,405,3,5,1600000
Jardim Novo Sabará,4,324,5,3,700000
Centro,3,86,2,2,800000
Franca,2,44,1,1,90000
Brasília,3,190,2,3,370000
Brasília,3,111,4,2,530000
Parque Jamaica,2,60,1,1,460000
Vila Brasil,2,55,1,2,358000
Jardim São Paulo,3,87,1,1,380000
Santa Rosa,2,87,1,1,880000
Jardim do Lago,3,81,1,2,680000
Jardim Colúmbia D,3,149,2,1,335000
Centro,3,114,2,3,550000
Terras de Santana II,3,185,4,4,1580000
Gleba Fazenda Palhano,3,72,1,2,495000
Alto da Colina,1,26,1,1,140000
Espanha,2,70,4,1,335000
Gleba Fazenda Palhano,2,103,3,3,1350000
Vila Brasil,2,57,1,1,350000
Jardim Santa Alice,3,98,1,2,360000
Ideal,3,90,1,2,615000
Ideal,3,80,2,2,395000
Colúmbia,2,67,2,1,330000
Jardim América,3,90,1,2,325000
Brasília,2,46,1,1,307000
Jardim Sérgio Antônio,2,44,1,1,170000
Santa Rita 1,3,100,1,1,240000
Recanto do Salto,3,155,2,3,3100000
Brasília,3,58,2,2,308000
Centro,2,55,1,1,181000
Ideal,3,80,2,1,310000
Jardim Santa Cruz,3,56,1,1,145000
Centro,3,94,1,3,590000
Jardim Morumbi,3,180,4,5,1250000
Centro,1,45,1,1,230000
Ideal,3,110,2,1,320000
Gleba Fazenda Palhano,2,74,2,2,575000
Judith,3,127,2,3,890000
Gleba Fazenda Palhano,3,165,2,5,1450000
Califórnia,3,216,2,3,990000
Gleba Simon Frazer,3,157,2,2,1300000
Jardim Londrilar,3,204,3,5,1550000
Vila Filipin,2,48,1,2,220000
Marumbi,3,145,1,1,480000
Vila Filipin,2,75,2,2,455000
Jardim São Paulo II,2,52,1,1,190000
Recanto do Salto,4,414,4,5,4950000
São Vicente,3,64,1,2,450000
Gleba Fazenda Palhano,3,229,3,2,3080000
Colúmbia,3,85,1,2,398000
Conjunto Habitacional Maria Cecília Serrano de Oliveira,3,116,2,1,260000
Jardim São Jorge,5,600,4,5,6000000
Mediterrâneo,5,400,4,4,1650000
Brasília,2,44,1,1,135000
Igapó,3,81,1,2,320000
Conjunto Farid Libos,2,81,2,2,280500
Jardim Morumbi,3,194,4,3,1550000
Centro,3,68,2,1,380000
Champagnat,3,252,4,4,699000
Granville Parque Residencial,3,200,5,4,1300000
Jardim Presidente,3,143,2,1,400000
Brasília,2,50,1,1,110000
Centro,4,231,2,5,980000
Gleba Fazenda Palhano,3,79,2,2,650000
Gleba Simon Frazer,3,145,4,4,975000
Bandeirantes,3,80,2,2,425000
Jardim América,3,90,1,2,320000
Gleba Fazenda Palhano,3,81,2,2,790000
Brasília,5,473,3,5,499000
Esperança,4,295,4,5,2990000
Gleba Fazenda Palhano,3,82,2,2,595000
Jardim Shangri-la A,3,400,5,4,1385000
Gleba Fazenda Palhano,4,225,2,5,980000
Jardim Maria Celina,2,49,1,1,50000
Bela Suiça,3,232,3,5,2700000
Jardim Morumbi,2,41,1,1,205000
Jardim Nápoles,5,395,5,5,1349999
Brasília,3,92,2,2,470000
Centro,2,56,1,1,180000
Cidade Industrial 2,2,44,1,1,190000
Centro,2,60,1,1,270000
Bela Suiça,4,103,2,2,720000
Terra Bonita,2,70,1,1,615000
Champagnat,3,58,1,1,350000
Gleba Fazenda Palhano,3,186,2,3,2700000
Jardim das Américas,2,43,1,1,135000
Aurora,2,64,1,2,580000
Residencial José B Almeida,3,250,3,2,630000
Jardim do Lago,3,217,2,5,2590000
Colinas,2,65,1,2,319610
Guanabara,3,150,2,1,1600000
Gleba Fazenda Palhano,3,96,2,2,665000
Vila Larsen 1,3,90,3,1,550000
Parque Jamaica,2,60,1,2,430000
Jardim ltaparica,3,75,2,1,330000
Parque Jamaica,3,59,1,1,220000
Gleba Fazenda Palhano,3,181,4,4,2390000
Gleba Fazenda Palhano,3,221,4,5,2450000
Jardim São Paulo,3,65,2,1,280000
Jardim Agari,3,93,1,3,350000
Lagoa Dourada,3,42,1,1,140000
Portuguesa,5,160,3,3,229000
Vila Brasil,2,55,1,1,419900
Aurora,3,75,2,2,590000
Esperança,4,497,4,5,5900000
Ouro Verde,3,49,1,1,150000
Veraliz,3,71,1,2,529900
Portal de Versalhes 2,3,170,2,3,530000
Centro,3,70,2,2,595000
Operária,4,317,1,4,1700000
Recanto do Salto,5,744,5,5,8000000
Centro,3,160,2,2,740000
Lima Azevedo,3,60,1,1,235000
Gleba Ribeirão Limeiro,2,52,1,1,260000
Antares,3,197,4,2,550000
Jardim Presidente,2,71,2,2,570000
Brasília,2,68,1,2,330000
Jardim Indianápolis,3,63,2,1,250000
Brasília,2,44,1,1,146000
Vale dos Tucanos,3,64,1,1,190000
Gleba Fazenda Palhano,3,114,2,3,1600000
Centro,3,118,2,4,1050000
Lindóia,2,150,2,2,455000
Conjunto Vivi Xavier,3,125,2,2,685000
