Bairro,Numero de quartos,Metros quadrados,Vagas de Garagem,Numero de Banheiros,Preço
Santa Rosa,3,245,3,5,2300000
Luiz de Sá,3,133,2,2,230000
Jardim Morumbi,3,57,1,1,235000
Carnascialli,2,180,1,1,230000
Parque Jamaica,3,58,1,1,135000
Vila Filipin,2,56,2,1,185000
Jardim São Francisco de Assis,3,152,5,2,485000
Perobinha,2,43,1,1,115000
Jardim Portal de Itamaracá,3,117,2,3,610000
Brasília,3,91,1,1,235000
Terra Bonita,3,180,2,2,697000
Jardim Agari,3,135,3,2,690000
Brasília,3,130,2,2,348000
Granville Parque Residencial,3,320,2,5,1830000
Brasília,3,55,1,1,295020
Jardim São Tomás,2,58,1,1,250000
Centro,3,116,1,3,480000
Centro,3,86,2,2,830000
Gleba Ribeirão Limeiro,2,43,1,1,245000
Alto da Boa Vista,3,120,1,1,290000
Centro,3,138,2,2,460000
Jardim Planalto,3,81,2,2,329870
Bela Suiça,4,111,2,2,650000
Brasília,3,55,1,1,244000
Terras de Santana II,4,280,1,3,1700000
Parque Residencial Joaquim Toledo Piza,3,100,2,2,390000
Jardim Roveri,3,400,2,4,1450000
Jardim Morumbi,3,144,4,3,1200000
Jardim Moema,3,70,1,1,290000
Centro,1,45,1,1,270000
Conjunto Habitacional Alexandre Urbanas,3,150,4,4,1050000
Brasília,3,63,1,1,150000
Brasília,3,76,2,2,318000
Cidade Industrial 2,2,44,1,1,175000
Rodocentro,3,58,1,1,140000
Guanabara Parque Boulevard,3,104,2,3,1050000
Terra Bonita,3,126,2,2,820000
Champagnat,3,205,4,4,810000
Aurora,3,66,2,2,370000
Judith,3,89,1,2,520000
Parigot de Souza 2,2,52,1,1,179000
Gleba Fazenda Palhano,3,183,2,5,1950000
Jardim Vale do Cedro,3,127,2,2,450000
Cidade Industrial 2,2,59,1,1,120000
Mediterrâneo,5,549,2,5,3500000
Gleba Fazenda Palhano,3,115,2,2,950000
Jardim do Lago,4,212,2,5,1749000
Esperança,3,125,4,3,980000
Califórnia,3,216,2,3,990000
Gleba Fazenda Palhano,3,75,1,1,557000
Brasília,2,90,2,2,390000
Rodocentro,3,58,1,1,150000
Jardim Prefeito Milton Menezes,3,125,2,1,350000
Vila Brasil,2,65,1,2,380000
Conjunto Habitacional Jesualdo Garcia Pessoa,2,85,1,1,240000
Vila Ziober,2,51,1,1,159900
Gleba Fazenda Palhano,3,81,2,2,730000
Jardim Montecatini,2,70,1,2,290000
Industrial,2,47,1,1,130000
Jardim da Luz,4,300,5,2,900000
Gleba Fazenda Palhano,3,138,2,4,1700000
Centro,2,68,1,1,220000
Vivendas do Arvoredo,3,280,2,2,2800000
Gleba Fazenda Palhano,3,173,2,5,1930000
Jardim Montecatini,2,76,1,2,319020
Centro,3,63,1,2,270000
Conjunto Habitacional Doutor Farid Libos,2,47,1,1,180000
Residencial José Lázaro Gouvea,3,69,1,2,519000
Centro,3,139,2,3,550000
Gleba Fazenda Palhano,3,130,2,2,1090000
Jardim Athenas,3,160,1,2,350000
Heimtal,3,51,1,1,215000
Brasília,3,56,1,1,144000
Centro,3,89,1,2,478000
Andes,1,86,2,2,415000
Esperança,5,640,5,5,5200000
Leonor,3,70,1,1,170000
Conjunto Habitacional Alexandre Urbanas,3,200,2,2,1500000
Gleba Fazenda Palhano,3,169,2,4,1290000
Bela Suiça,4,419,4,5,4250000
Jardim Shangri-la A,3,239,4,4,710000
Brasília,3,88,2,2,445000
Jardim Morumbi,2,65,1,1,320000
Brasília,3,184,4,3,625000
Brasília,2,45,1,1,160000
Gleba Fazenda Palhano,2,47,1,1,269000
Operária,3,353,5,2,1800000
Nova Olinda,2,47,1,1,110000
Centro,3,85,1,2,440000
Cidade Industrial 2,2,40,1,1,176000
Esperança,4,160,2,1,1590000
Centro,3,71,1,2,260000
Brasília,3,120,2,3,610000
Gleba Simon Frazer,3,199,2,4,1400000
Santa Rosa,3,103,2,3,1050000
Jardim São Paulo II,3,60,1,1,250000
Brasília,2,125,1,1,238000
Jardim São Paulo II,2,44,1,1,149000
Esperança,3,215,4,3,2360000
Gleba Fazenda Palhano,3,165,2,5,1500000
Cafezal,4,200,5,3,675000
Centro,3,94,1,1,500000
Jardim Vilas Boas,3,280,4,3,940000
Centro,3,204,2,5,1150000
Brasília,3,63,1,1,210000
Recanto do Salto,3,505,2,4,2650000
Recanto do Salto,4,330,4,5,3350000
Parque Residencial Joaquim Toledo Piza,3,130,2,2,695000
Gleba Fazenda Palhano,3,130,2,2,1080000
Jardim Tókio,3,116,2,3,525000
Leonor,2,80,1,1,170000
Centro,3,204,2,4,2640000
Brasília,3,390,4,2,380000
São Vicente,3,67,1,2,484500
Gleba Fazenda Palhano,3,78,1,2,550000
Gleba Fazenda Palhano,2,78,2,2,750000
Centro,3,86,2,2,830000
Parque Residencial Joaquim Toledo Piza,3,112,1,1,300000
Centro,1,54,1,2,460000
Brasília,3,70,4,2,250000
Centro,2,65,1,2,280000
Esperança,4,300,5,4,2990000
Santa Rosa,3,245,2,5,2899430
Terras de Santana II,3,255,2,3,1850000
Jardim Moema,2,62,2,1,245000
Colúmbia,2,63,1,1,245000
Jardim Sabará,2,44,1,1,150000
Centro,3,90,1,2,445000
Terra Bonita,3,242,4,3,1600000
Jardim Maria Luiza,2,42,2,1,149000
Portal de Versalhes 1,3,260,2,5,940000
Guanabara,4,388,4,5,6950000
Jardim Higienópolis,3,80,1,2,386000
Alpes,3,104,3,2,470000
Brasília,3,130,2,2,240000
Santa Rosa,3,77,2,2,640000
Brasília,3,87,2,2,429000
Gleba Fazenda Palhano,3,103,2,3,1280000
Conjunto Habitacional Alexandre Urbanas,3,183,4,4,1395000
Centro,3,198,2,3,700000
Gleba Fazenda Palhano,3,81,2,2,749000
Jardim Continental,4,286,4,2,630000
Leonor,2,46,1,1,170000
Gleba Simon Frazer,3,75,1,2,385000
Centro,3,109,1,1,435000
Centro,3,128,3,2,1400000
Vivendas do Arvoredo,2,70,1,2,570000
Conjunto Habitacional José Garcia Molina,2,45,1,1,150000
Centro,3,81,1,2,680000
Parque Jamaica,3,72,2,2,599000
Nikko,3,121,2,3,1207000
Jardim Morumbi,3,183,2,3,1480000
Centro,3,227,2,2,800000
Recanto do Pitanguá,4,514,3,5,3199000
Centro,2,63,1,2,270000
Jardim Itatiaia 1,4,369,4,4,2900000
Quebec,3,450,5,3,1950000
Jardim Planalto,3,112,2,1,530000
Vivendas do Arvoredo,3,186,4,4,2050000
Igapó,2,61,1,1,195000
Brasília,3,96,2,2,450000
Residencial Verona,3,91,2,2,330000
Jardim Higienópolis,1,45,1,1,325000
Jardim Maria Celina,1,47,1,1,135000
Vivendas do Arvoredo,3,210,4,5,3750000
Bancários,4,182,2,4,629260
Jardim Nações Unidas,2,46,1,1,175000
Centro,3,64,1,1,280000
Gleba Fazenda Palhano,3,216,3,4,2270000
Gleba Fazenda Palhano,3,166,2,5,1550000
Centro,3,103,1,2,465000
Gleba Fazenda Palhano,3,130,2,4,1600000
Conjunto Habitacional José Garcia Molina,3,110,1,2,365000
Centro,3,148,2,1,750000
Conjunto Habitacional Santiago II,3,110,2,1,540000
Pacaembu,3,90,1,2,320000
Gleba Fazenda Palhano,2,45,1,1,280000
Gleba Fazenda Palhano,3,122,2,4,1350000
Brasília,3,125,3,2,350000
Brasília,4,400,3,5,2772000
Centro,3,126,3,3,450000
Jardim América,2,54,1,1,200000
Lago Parque,4,364,5,5,2450000
Leonor,3,78,1,1,285000
Vila Rica,3,170,3,2,349420
Parque Jamaica,2,46,1,1,305990
Brasília,2,70,1,1,300000
Centro,3,92,1,3,360000
Jardim Morumbi,2,50,1,1,345000
Bela Suiça,4,419,4,5,4250000
Jardim das Américas,2,44,1,1,149000
Terra Bonita,3,84,2,2,860000
Centro,3,184,2,5,990000
Gleba Fazenda Palhano,3,130,3,4,1490000
Centro,2,51,1,1,360000
Jardim Morumbi,2,50,1,1,439000
Colúmbia,3,113,2,2,410000
Brasília,2,60,1,1,150000
Conjunto Habitacional Doutor Farid Libos,2,46,1,1,170000
Santa Rosa,2,69,1,2,560000
Parque Jamaica,3,72,1,2,535000
Bancários,3,125,4,3,585000
Jardim Colúmbia D,3,85,2,2,329810
Lagoa Dourada,2,40,1,1,130000
Esperança,2,45,1,1,245000
Brasília,3,80,2,2,371000
Parque Residencial Joaquim Toledo Piza,2,38,1,1,175000
Jardim Montecatini,2,69,2,1,325000
Jardim Nações Unidas,2,50,1,1,150000
Gleba Fazenda Palhano,3,236,4,5,3500000
Terra Bonita,2,79,1,2,818100
Maria Lúcia,3,165,2,3,660000
Residencial José Lázaro Gouvea,3,70,1,1,420000
Jardim das Américas,3,58,1,1,250000
Centro,4,300,2,5,950000
Recanto Nobre,5,846,5,5,11900000
Nova Olinda,2,45,1,1,125000
Cidade Industrial 2,2,43,1,1,189000
Jardim Moema,2,62,1,1,237000
Parque Jamaica,3,70,1,2,500000
Santa Mônica,3,150,3,3,470000
Esperança,4,313,4,5,3500000
Centro,3,70,2,2,690000
Santa Rosa,3,77,2,2,636000
Bela Vista,2,128,2,2,990000
Condomínio Vale do Arvoredo,4,305,4,5,1900000
Esperança,3,260,4,3,1900000
Vila Rica,3,177,3,1,340000
Jardim Ok,3,132,5,2,450000
Gleba Fazenda Palhano,2,47,1,1,280000
Monte Belo,3,200,1,1,550000
Conjunto Café,3,100,1,1,250000
Esperança,5,283,4,5,3100000
Nossa Senhora de Lourdes,2,79,1,2,220000
Centro,1,27,1,1,249000
Jardim Strass,2,45,1,1,110000
Jardim Higienópolis,2,74,2,2,800000
Leonor,2,46,1,1,180000
Centro,3,67,1,2,529900
Brasília,2,45,1,1,205000
Jardim São Jorge,4,283,3,4,3800000
Brasília,2,46,1,1,260000
Jardim Planalto,3,102,2,2,530000
Santa Rosa,3,186,4,2,1390000
Brasília,2,47,1,1,223000
San Fernando,2,39,1,1,185000
Jardim São Paulo,3,113,1,1,412000
Centro,3,109,1,2,435000
Quebec,3,400,4,3,1590000
Parque Residencial Joaquim Toledo Piza,1,130,2,2,695000
Vila Ipiranga,2,66,1,2,410000
Gleba Fazenda Palhano,3,181,3,4,1950000
Centro,3,70,2,2,610000
Champagnat,5,400,3,5,1420000
Alpes,3,140,2,4,450000
Brasília,3,96,2,2,320000
Boa Vista,3,430,5,5,1350000
Vitória,2,45,1,1,180000
Gleba Fazenda Palhano,1,52,1,2,597400
Residencial Santa Clara,4,240,2,4,990000
Leonor,3,130,3,2,560000
Sabará III,2,123,2,1,340000
Residencial José B Almeida,3,85,2,2,400000
Jardim Higienópolis,2,74,2,2,750000
Bandeirantes,3,74,2,2,360000
Gleba Fazenda Palhano,3,137,2,3,1620000
Jardim Santo Antônio,2,98,1,3,340000
Shangri-lá,3,106,3,2,460000
Gleba Fazenda Palhano,3,139,2,5,1600000
Jardim do Lago,3,212,2,4,1810000
Taliana,2,47,1,1,182000
Jardim Tókio,3,58,1,1,250000
Ideal,3,125,1,1,299000
Brasília,2,46,1,1,250000
Jardim Presidente,3,110,2,2,320000
Gleba Fazenda Palhano,3,155,3,5,1650000
Jardim Novo Sabará,3,120,5,3,650000
Parque Jamaica,2,72,2,2,590000
Dom Pedro,3,280,2,1,1200000
Brasília,2,70,2,2,315000
Vitória Régia,2,58,1,1,210000
Vila Shimabokuro,2,59,1,1,245000
Centro,3,94,1,2,550000
Franca,2,44,1,1,120000
Waldemar Hauer,3,99,4,2,460000
Gleba Fazenda Palhano,3,286,4,5,3100000
Vila Brasil,2,57,1,2,440000
Centro,3,64,1,2,470000
Santa Rosa,3,245,3,4,3390000
Santa Rosa,3,207,3,5,2290000
Universitário,3,297,2,4,1197000
Jardim Continental,3,80,1,2,390000
Santa Rosa,4,253,1,4,2200000
Leonor,3,119,5,2,499000
Vale dos Tucanos,3,65,1,2,297000
Jardim Morumbi,3,64,1,2,440000
Leonor,2,99,2,1,295000
Heimtal,3,104,2,1,495000
Vila Fujita,3,224,2,5,1300000
Brasília,3,157,2,3,1480000
Guanabara Parque Boulevard,3,89,2,2,968000
Jardim Planalto,2,120,2,1,440000
Vitória,3,83,2,2,450000
Jardim Maria Celina,3,66,1,1,220000
Guanabara,3,269,4,5,3400000
Bandeirantes,2,350,5,1,780000
Santa Rosa,3,122,2,3,990000
Centro,3,120,1,3,585000
Santa Rosa,3,127,2,4,1399000
Aragarça,3,70,1,2,360000
Gleba Fazenda Palhano,2,89,2,2,899000
Hedy,3,180,2,2,650000
Ouro Verde,2,45,1,1,160000
Conjunto Habitacional Alexandre Urbanas,3,150,4,3,1050000
Centro,3,128,3,3,1400000
Centro,3,100,1,2,450000
Gleba Fazenda Palhano,3,130,2,3,995000
Colúmbia,3,97,1,2,379750
Brasília,4,372,3,4,375000
Vale das Araucárias,3,273,4,4,2100000
Gleba Fazenda Palhano,1,181,3,5,1950000
Residencial Vila Romana,2,76,2,1,280000
Conjunto Farid Libos,3,79,1,2,289000
Jardim São Vicente Palloti,2,90,2,2,389000
Jardim Morumbi,3,63,1,2,320000
Rodocentro,3,50,1,1,160000
Gleba Fazenda Palhano,1,52,1,2,589000
Jardim Alto do Cafezal,3,110,2,2,475000
Ernani Moura Lima,3,127,2,2,490000
Lima Azevedo,2,54,1,1,220000
Jardim Shangri-la A,4,302,5,3,1750000
Gleba Fazenda Palhano,2,69,2,2,560000
Gleba Fazenda Palhano,2,100,2,3,1240000
Gleba Fazenda Palhano,3,117,2,2,750000
Brasília,3,162,2,3,800000
Aragarça,4,190,2,3,1300000
Gleba Simon Frazer,3,144,2,4,950000
Gleba Fazenda Palhano,3,175,2,4,1900000
Conjunto Habitacional Doutor Farid Libos,2,46,1,1,150000
Brasília,3,94,2,1,550000
Gleba Fazenda Palhano,3,95,2,2,949000
Gleba Fazenda Palhano,3,122,2,1,1250000
Gleba Fazenda Palhano,3,81,2,2,820000
Aeroporto,3,245,2,5,1600000
Brasília,2,72,1,1,240000
Gleba Fazenda Palhano,2,89,2,1,840000
Centro,3,120,1,2,550000
Jardim Sabará,2,45,1,1,345000
Lago Parque,5,861,5,5,4500000
Jardim Central Park,1,205,2,3,1390000
Guanabara,3,269,3,5,3380000
Brasília,3,144,4,2,370000
Gleba Fazenda Palhano,2,62,1,2,646500
Ideal,2,80,1,1,270000
Vila Filipin,2,55,2,1,220000
Conjunto Residencial Marajoara,2,45,1,1,180000
Califórnia,3,188,5,3,400000
Jardim Morumbi,2,64,1,1,330000
Jardim Sabará,2,75,1,1,340000
Alto da Boa Vista,3,180,2,3,429250
Granville Parque Residencial,3,215,2,3,1229000
Centro,3,101,1,3,380000
Guanabara Parque Boulevard,3,80,1,2,610000
Gleba Fazenda Palhano,2,92,1,2,1100000
Bela Suiça,1,119,2,2,640000
Brasília,3,74,1,2,580000
Conjunto Parigot de Souza 3,2,120,1,2,260000
Centro,3,86,2,2,780000
Gleba Fazenda Palhano,3,173,2,5,1980000
Ouro Verde,4,190,4,2,600000
Centro,4,372,3,5,1950000
Esperança,3,295,4,5,2990000
Gleba Fazenda Palhano,2,54,1,1,373000
Parque Jamaica,3,160,4,4,1370000
Brasília,3,112,1,2,410000
Jardim Higienópolis,3,101,1,3,490000
Jardim Burle Marx,5,201,2,5,850000
Judith,3,127,2,2,860000
Centro,4,550,2,5,1700000
Jardim Montecatini,3,250,4,4,1788000
Conjunto Habitacional Alexandre Urbanas,2,140,4,3,890000
Residencial Professora Marieta,3,141,3,3,410000
Colúmbia,2,37,3,1,170000
Brasília,3,75,1,2,380000
Luiz de Sá,2,120,2,3,300000
Gleba Fazenda Palhano,2,62,1,2,649999
Brasília,2,57,2,1,270000
Cidade Industrial 2,2,44,1,1,199000
Gleba Fazenda Palhano,2,45,1,1,270000
Recanto do Salto,5,360,5,5,3500000
Tietê,3,49,1,1,150000
Colúmbia,2,50,1,1,220000
Parque Jamaica,2,61,1,2,439000
Brasília,2,47,1,1,195000
Gleba Fazenda Palhano,2,89,2,3,810000
Tietê,3,49,1,2,149000
Gleba Fazenda Palhano,3,120,1,3,1190000
Centro,3,202,2,3,990000
Santa Rosa,3,98,2,2,980000
Terra Bonita,3,119,2,2,700000
Bandeirantes,2,60,2,1,250000
Brasília,3,140,3,3,720000
Gleba Ribeirão Limeiro,2,48,1,1,280000
Jardim Colúmbia D,3,120,2,2,415000
Gleba Fazenda Palhano,2,51,1,1,390000
Vila Ipiranga,2,60,2,1,480000
Champagnat,3,201,4,2,650000
Conjunto Habitacional Santiago II,3,55,1,1,300000
Marabá,3,220,2,3,599720
Jardim Palermo,3,127,1,3,480000
Aurora,3,69,1,2,480000
Heimtal,3,128,2,2,630000
Guanabara Parque Boulevard,3,104,2,3,1100000
Centro,5,563,2,5,2500000
Jardim Montecatini,3,78,1,1,395000
Gleba Fazenda Palhano,4,445,4,5,4300000
Gleba Fazenda Palhano,3,79,1,1,595000
Terra Bonita,3,70,1,2,455000
Vivendas do Arvoredo,5,470,5,5,7500000
Cambezinho,3,135,2,2,295000
Gleba Fazenda Palhano,3,168,2,4,2100000
Santa Rosa,3,323,4,5,4250000
Gleba Fazenda Palhano,3,113,2,3,850000
Gleba Fazenda Palhano,3,122,2,3,1390000
Terra Bonita,3,174,2,3,560000
Parque Residencial Joaquim Toledo Piza,2,47,1,1,260000
Recanto do Salto,4,224,2,5,2300000
Gleba Fazenda Palhano,3,129,2,1,1170000
Vila Siam,3,69,1,2,569840
Gleba Fazenda Palhano,3,216,4,5,2290000
Gávea,3,122,2,3,580000
Jardim Santa Alice,3,210,5,3,650000
Gleba Simon Frazer,4,211,3,4,1660000
Campo Belo,3,122,1,2,380000
Gleba Fazenda Palhano,3,94,2,2,859000
Centro,5,650,4,5,2500000
Gleba Fazenda Palhano,3,165,2,5,1850000
Centro,2,111,2,1,480000
Pacaembu,2,155,2,1,250000
Santa Rosa,2,87,1,2,860000
Cidade Industrial 2,2,47,1,1,260000
Jardim Santa Maria,3,146,2,1,240000
Jardim São Paulo,3,130,1,2,200000
Jardim Adriana II,3,73,1,1,380000
Brasília,3,95,2,2,370000
Esperança,4,329,4,5,2700000
Gleba Fazenda Palhano,2,45,1,1,320000
Vivendas do Arvoredo,4,530,5,5,4900000
Nova Olinda,2,51,1,1,120000
Jardim Londrilar,3,146,2,3,1550000
Parigot de Souza 2,3,120,3,1,180000
Esperança,3,132,2,3,1450000
Jardim Colúmbia D,3,120,2,3,460000
Gleba Ribeirão Limeiro,2,45,1,1,165000
Aragarça,3,365,4,2,1800000
Residencial José Lázaro Gouvea,3,173,4,4,1110000
Nova,4,240,4,3,575000
Colúmbia,3,100,2,2,454000
Hedy,1,25,1,1,200000
Ideal,3,190,2,4,1790000
Ideal,3,85,2,1,350000
Terra Bonita,3,84,2,1,830000
Vila Siam,2,71,1,2,620000
Chácaras Pietraróia,5,538,5,5,900000
Vivendas do Arvoredo,4,286,4,1,2800000
Centro,2,250,2,2,300000
Bela Suiça,4,419,4,5,4850000
Jardim Lolata,3,260,3,3,1000000
Jardim das Américas,2,44,1,1,149000
Gleba Fazenda Palhano,3,166,2,5,1550000
Centro,3,106,2,5,580000
Bela Suiça,1,47,1,1,330000
Terra Bonita,3,142,3,3,760000
Brasília,3,75,2,2,400000
Vila Ipiranga,4,117,2,3,700000
Centro,1,54,1,1,413000
Leonor,2,47,1,1,170000
Bela Vista,3,220,2,3,991000
Granville Parque Residencial,3,250,2,4,2200000
Centro,3,122,1,1,360000
Jardim Tarumã,3,290,3,3,979670
Conjunto Habitacional Santiago II,3,124,3,2,560000
Paraíso,2,51,1,1,160000
Brasília,2,46,1,1,191000
Jardim Morumbi,2,55,1,1,290000
Centro,4,323,5,1,1600000
Jardim Morumbi,2,53,1,1,300000
Leonor,2,46,1,1,139000
Centro,3,115,1,2,480000
Jardim São Paulo II,1,44,1,1,165000
Conjunto Habitacional Santiago II,3,80,1,3,360000
Industrial,2,89,1,2,520000
Gleba Fazenda Palhano,3,185,3,4,1950000
Santa Joana,5,250,2,2,230000
Brasília,2,90,2,2,410000
Chácaras Pietraróia,3,115,1,1,280000
Centro,3,90,1,2,560000
Santa Rosa,2,98,1,3,974860
Gleba Fazenda Palhano,2,77,1,2,740000
Vale dos Tucanos,3,76,1,2,560000
Waldemar Hauer,2,136,2,3,460000
Jardim Tókio,3,100,1,1,170000
Gleba Fazenda Palhano,3,68,1,2,430000
Jardim do Leste,3,153,3,3,670000
Brasília,3,168,2,4,650000
Leonor,2,46,1,1,180000
Conjunto Vivi Xavier,3,53,1,1,160000
Brasília,3,94,1,2,709000
Centro,3,112,1,1,389000
Centro,1,23,1,1,240000
Tietê,2,56,1,1,120000
Ouro Verde,2,45,1,1,180000
Champagnat,3,447,2,4,1600000
Colinas,3,83,1,1,355000
Gleba Fazenda Palhano,3,113,2,2,990000
Gleba Fazenda Palhano,3,151,2,5,1890000
Brasília,3,148,4,3,795000
Aurora,3,69,1,2,450000
Recanto do Salto,2,260,2,3,3200000
Gleba Fazenda Palhano,4,340,3,5,5164000
Parque Jamaica,3,65,1,2,340000
Conjunto Habitacional Santiago II,2,61,1,1,240000
Parque Residencial Porto Serguro 2,2,91,1,1,150000
Gleba Fazenda Palhano,3,79,2,2,540000
Parque Residencial Joaquim Toledo Piza,3,130,2,1,695000
Portal de Versalhes 1,3,127,2,2,780000
Centro,3,73,1,2,360000
Gleba Fazenda Palhano,2,85,2,2,900000
Centro,5,507,4,4,3200000
Alto da Boa Vista,4,150,3,2,300000
Condomínio Vale do Arvoredo,4,165,4,4,1300000
Amaro,3,67,1,1,250000
Conjunto Habitacional Santiago II,3,51,2,2,400000
Vila Ipiranga,2,61,1,1,350000
Jardim Maria Celina,2,48,1,1,190000
Gleba Fazenda Palhano,3,122,2,2,1350000
Gleba Fazenda Palhano,2,44,1,1,240000
Gleba Fazenda Palhano,2,46,1,1,270000
Conjunto Café,3,65,1,2,235000
Judith,4,179,2,1,890000
Brasília,3,136,4,2,750000
Jardim Higienópolis,2,71,1,2,610000
Esperança,5,610,5,1,9999070
Jardim Jóquei Club,2,47,1,1,250000
Jardim Morumbi,2,72,1,1,320000
Santa Rosa,3,245,3,4,3550000
Centro,3,89,1,3,360000
Jardim Colúmbia D,4,167,4,3,345000
Granville Parque Residencial,3,320,4,3,1750000
Jardim Albatroz,3,188,3,2,998000
Santa Rosa,3,207,3,4,2800000
Gleba Fazenda Palhano,3,75,2,2,790000
Jardim Santo André,2,65,1,1,220000
São Vicente,2,49,1,1,268000
Brasília,2,43,1,1,149000
Gleba Simon Frazer,3,144,4,4,1150000
Jardim Nova Esperança,2,90,2,1,180000
Residencial Professora Madalena Cardoso,2,53,1,1,139800
Gleba Fazenda Palhano,3,235,3,5,2950000
Gleba Fazenda Palhano,2,54,1,1,459000
Centro,2,46,1,1,304500
Brasília,2,300,2,2,550000
Jardim Presidente,3,104,2,2,290000
Terra Bonita,2,70,1,2,760000
Residencial José Lázaro Gouvea,3,70,1,2,520000
Centro,3,247,1,3,560000
Vila Larsen 1,5,400,4,5,690000
Califórnia,1,50,1,4,1200000
Santa Rita 1,3,119,3,3,500000
Santa Rosa,3,102,2,3,1200000
Jardim São Jorge,3,159,2,5,1715000
Brasília,3,76,3,2,320000
Sabará I,3,96,1,2,400000
Brasília,3,157,2,3,598700
Jerumenha,3,77,1,2,385000
Paraíso,2,41,1,1,190000
Gleba Fazenda Palhano,1,58,1,2,640000
Gleba Fazenda Palhano,3,75,1,2,750000
Jardim Portal de Itamaracá,3,84,2,2,350000
Colinas,2,44,1,1,200000
Terra Bonita,3,63,1,2,475000
Brasília,2,62,1,1,175000
Dom Bosco,3,94,1,2,305000
Colúmbia,2,150,1,1,550000
Heimtal,2,47,2,1,169000
Gleba Fazenda Palhano,3,95,2,2,965000
Centro,2,60,1,1,320000
Brasília,3,77,2,2,382000
Gleba Fazenda Palhano,4,340,2,4,4750100
Heimtal,3,112,2,2,585000
Jardim Tókio,3,113,2,2,530000
Brasília,5,153,3,3,530000
Colúmbia,3,80,2,1,379500
Jacutinga,2,62,2,1,280000
Jardim Burle Marx,3,130,2,2,798000
Califórnia,3,216,2,3,990000
Jardim São Paulo II,2,48,1,1,165000
Califórnia,3,246,5,4,930000
Kennedy,2,191,2,1,1450000
Bandeirantes,2,10,2,1,480000
Brasília,3,65,1,1,316000
Centro,3,86,1,2,680000
Conjunto Parigot de Souza 3,5,164,1,2,500000
Bela Vista,3,77,1,2,360000
Jacomo Violin,2,100,2,1,235000
Leonor,1,110,4,2,450000
Recanto do Salto,3,3200,2,5,4000000
Conjunto Parigot de Souza 3,3,150,2,3,380000
Esperança,5,710,4,5,10000000
Gleba Fazenda Palhano,3,130,2,4,1450000
Centro,1,55,1,1,140000
Jardim Shangri-la A,3,600,4,3,1100000
Jardim Tókio,2,70,1,1,299520
Conjunto Habitacional Doutor Farid Libos,2,48,1,1,165000
Parque Jamaica,3,71,1,2,485000
Santa Rosa,3,323,4,4,3850000
Centro,3,90,1,2,590000
Centro,3,150,4,5,1445000
Vitória,3,84,1,2,450000
Colúmbia,3,90,1,2,350000
Terra Bonita,3,73,2,1,580000
Recanto do Salto,3,308,4,5,3800000
Gleba Fazenda Palhano,1,45,1,2,530000
Vitória,2,56,1,1,320000
Aquilles Sthengel,2,135,2,1,250000
Esperança,3,313,4,4,3500000
Gleba Fazenda Palhano,3,181,2,4,2500000
Vânia,3,140,2,2,550000
Guanabara Parque Boulevard,3,104,2,2,1100000
Paraíso,2,46,1,1,180000
Nova Olinda,2,51,1,1,135000
Conjunto Habitacional José Garcia Molina,3,78,4,3,390000
Gleba Fazenda Palhano,3,179,2,4,1980000
Paraíso,2,50,1,1,144320
Jardim Império do Sol,2,100,1,1,415000
Petrópolis,4,267,4,4,1700000
Gleba Fazenda Palhano,3,74,2,2,699000
Jardim Tropical,3,117,1,2,380000
Brasília,2,67,1,1,212000
Brasília,2,93,2,2,395000
Jardim Morumbi,3,156,4,2,1100000
Conjunto Habitacional Violim,2,97,1,2,280000
Jerumenha,3,156,1,1,530000
Gleba Simon Frazer,3,199,2,2,1400000
Andrade,3,72,1,2,515000
Heimtal,3,165,2,2,1050000
Santa Rosa,3,207,3,4,2295000
Alto da Colina,1,37,1,1,130000
Centro,2,67,1,1,190000
Gleba Fazenda Palhano,3,103,2,2,960000
Gleba Fazenda Palhano,3,167,2,5,2300000
Jardim Neman Sahyun,1,70,3,1,265000
Centro,3,147,2,3,680000
Vila Fujita,3,224,2,5,1100000
Vila Brasil,2,54,1,2,330000
Guanabara,4,130,2,3,1500000
Brasília,3,70,2,2,372000
Centro,4,232,2,5,890000
Gleba Fazenda Palhano,1,51,1,1,720000
Brasília,5,384,5,5,2499000
Brasília,3,110,4,3,580000
Jardim das Américas,3,90,2,2,480000
Conjunto Habitacional Maria Cecília Serrano de Oliveira,2,150,2,1,230000
Esperança,2,41,1,1,240000
Giovani Lunardelli,2,67,1,2,295000
Bela Suiça,4,419,4,5,5200000
Jardim Presidente,3,71,1,2,639000
Leonor,3,120,2,1,350000
Jardim Santo André,3,64,1,1,230000
Jardim do Sol,3,100,2,3,220000
Esperança,3,266,4,4,2100000
Gleba Fazenda Palhano,3,207,3,4,2490000
Residencial José Lázaro Gouvea,3,301,5,4,3300000
Judith,3,110,2,2,900000
Gleba Fazenda Palhano,3,124,2,3,950000
Centro,3,94,1,2,559000
Jardim Monte Sinai,3,137,4,3,580000
Centro,3,74,1,2,600000
Jardim São Paulo II,2,44,1,1,212000
Brasília,2,46,1,1,290000
Jardim do Sol,4,170,1,2,240000
São Vicente,2,54,1,2,270000
Jardim Morumbi,2,51,1,1,300000
Jardim Presidente,4,376,4,5,1300000
Residencial Portal do Sol,3,82,1,2,298000
Jardim ltaparica,3,140,2,2,520000
Centro,3,89,1,2,430000
Colinas,2,47,1,1,190000
Recanto do Salto,3,298,4,5,3000000
